__time,/imu/angular_velocity/x,/imu/angular_velocity/y,/imu/angular_velocity/z,/imu/angular_velocity_covariance[0;0],/imu/angular_velocity_covariance[0;1],/imu/angular_velocity_covariance[0;2],/imu/angular_velocity_covariance[1;1],/imu/angular_velocity_covariance[1;2],/imu/angular_velocity_covariance[2;2],/imu/header/stamp,/imu/linear_acceleration/x,/imu/linear_acceleration/y,/imu/linear_acceleration/z,/imu/linear_acceleration_covariance[0;0],/imu/linear_acceleration_covariance[0;1],/imu/linear_acceleration_covariance[0;2],/imu/linear_acceleration_covariance[1;1],/imu/linear_acceleration_covariance[1;2],/imu/linear_acceleration_covariance[2;2],/imu/orientation/pitch_deg,/imu/orientation/roll_deg,/imu/orientation/w,/imu/orientation/x,/imu/orientation/y,/imu/orientation/yaw_deg,/imu/orientation/z,/imu/orientation_covariance[0;0],/imu/orientation_covariance[0;1],/imu/orientation_covariance[0;2],/imu/orientation_covariance[1;1],/imu/orientation_covariance[1;2],/imu/orientation_covariance[2;2],/imu_euler/data.0,/imu_euler/data.1,/imu_euler/data.2,/imu_euler/layout/data_offset
1717613907.616367,-0.001090831,-0.001090831,-0.002181662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.616978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.665473,-0.001090831,-0.001090831,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.666545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.712412,-0.001090831,-0.003272492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.714067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.759446,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.761122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.807540,-0.001090831,-0.001090831,-0.003272492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.808505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.853523,-0.003272492,-0.001090831,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.855518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.901626,0.001090831,-0.002181662,0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.902954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.950505,0.000000000,0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.951654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613908.000855,-0.002181662,-0.002181662,-0.002181662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613908.002473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613908.050529,0.000000000,-0.003272492,-0.002181662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613908.052204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613908.100299,-0.002181662,-0.003272492,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613908.101694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613908.149707,-0.002181662,0.003272492,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613908.150504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613908.200547,-0.002181662,-0.002181662,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613908.201281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613908.250496,-0.003272492,-0.001090831,-0.003272492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613908.252414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613908.301325,-0.001090831,-0.004363323,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613908.302845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613908.353086,0.000000000,0.000000000,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613908.354831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
